ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City
10X397,X,2,X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR,High school,1,10,10,99 TERRACE VIEW AVENUE,NY,10463,NORMA VEGA,718-220-1889,718-220-8758,"09,10,11",BRONX
10X475,X,2,X475,JOHN F. KENNEDY HIGH SCHOOL,High school,1,10,10,99 TERRACE VIEW AVENUE,NY,10463,Lisa Luft,718-817-7400,718-562-5132,"09,10,11,12,SE",BRONX
10X477,X,2,X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,High school,1,10,10,99 TERRACE VIEW AVENUE,NY,10463,KIRSTEN LARSON,718-561-0973,718-561-5612,"09,10,11,12,SE",BRONX
10X546,X,2,X546,BRONX THEATRE HIGH SCHOOL,High school,1,10,10,99 TERRACE VIEW AVENUE,NY,10463,DEBORAH EFFINGER,718-329-2902,718-329-0433,"09,10,11,12,SE",BRONX
84X539,X,2,X539,The New Visions Charter High School for Advanced Math and Sci,High school,2,10,84,99 TERRACE VIEW AVENUE,NY,10463,,,,"09,SE",BRONX
84X553,X,2,X553,The New Visions Charter High School for the Humanities,High school,2,10,84,99 TERRACE VIEW AVENUE,NY,10463,,,,"09,SE",BRONX
11X253,X,2,X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,High school,1,11,11,800 EAST GUN HILL ROAD,NY,10467,STEVEN CHERNIGOFF,718-944-5660,718-944-5690,"09,10,11,12,SE",BRONX
11X265,X,2,X265,BRONX LAB SCHOOL,High school,1,11,11,800 EAST GUN HILL ROAD,NY,10467,CHRISTOPHE LAGARES,718-696-3700,718-696-3730,"09,10,11,12,SE",BRONX
11X275,X,2,X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,High school,1,11,11,800 EAST GUN HILL ROAD,NY,10467,BRUCE ABRAMOWITZ,718-696-3930,718-696-3950,"09,10,11,12,SE",BRONX
11X290,X,2,X290,BRONX ACADEMY OF HEALTH CAREERS,High school,1,11,11,800 EAST GUN HILL ROAD,NY,10467,MARVIA LINDSAY,718-696-3340,718-696-3380,"09,10,11,12,SE",BRONX
11X544,X,2,X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,High school,1,11,11,800 EAST GUN HILL ROAD,NY,10467,FRANCISCO SANCHEZ,718-944-5610,718-944-5650,"09,10,11,12,SE",BRONX
11X545,X,2,X545,BRONX AEROSPACE HIGH SCHOOL,High school,1,11,11,800 EAST GUN HILL ROAD,NY,10467,BARBARA KIRKWEG,718-696-6010,718-696-6030,"09,10,11,12,SE",BRONX
10X080,X,2,X080,J.H.S. 080 THE MOSHOLU PARKWAY,Junior High-Intermediate-Middle,1,10,10,149 EAST MOSHOLU PARKWAY NORTH,NY,10467,Lovey Mazique-Rivera,718-405-6300,718-405-6324,"06,07,08,SE",BRONX
10X056,X,2,X056,P.S. 056 NORWOOD HEIGHTS,Elementary,1,10,10,341 EAST 207 STREET,NY,10467,PRISCILLA SHEERAN,718-405-6330,718-405-6341,"0K,01,02,03,04,05,SE",BRONX
75X176,X,2,X176,P.S. X176,K-12 all grades,1,11,75,850 BAYCHESTER AVENUE,NY,10475,RIMA RITHOLTZ,718-904-5750,718-904-5753,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",BRONX
11X178,X,2,X178,P.S. 178 - DR. SELMAN WAXMAN,Elementary,1,11,11,850 BAYCHESTER AVENUE,NY,10475,EVELYN FULTON,718-904-5570,718-904-5575,"0K,01,02,03,04,05,SE",BRONX
84X347,X,2,X347,INTERNATIONAL LEADERSHIP CHARTER SCHOOL,High school,2,10,84,2900 EXTERIOR STREET,NY,10463,Elaine Ruiz Lopez,718-562-2300,718-562-2335,"09,10,11,12",BRONX
10X360,X,2,X360,P.S. 360,Elementary,1,10,10,2880 KINGSBRIDGE TERRACE,NY,10463,Nancy Rodriguez-Lewis,718-548-1511,718-548-1536,"PK,0K,01,02,03,04,05,06,SE",BRONX
11X181,X,2,X181,I.S. 181 PABLO CASALS,Junior High-Intermediate-Middle,1,11,11,800 BAYCHESTER AVENUE,NY,10475,Christopher Warnock,718-904-5600,718-904-5620,"06,07,08,SE",BRONX
11X041,X,2,X041,P.S. 041 GUN HILL ROAD,Elementary,1,11,11,3352 OLINVILLE AVENUE,NY,10467,Erika Tobia,718-652-3461,718-231-2668,"0K,01,02,03,04,05,SE",BRONX
11X249,X,2,X249,BRONX HEALTH SCIENCES HIGH SCHOOL,High school,1,11,11,750 BAYCHESTER AVENUE,NY,10475,MIRIAM RIVAS,718-862-4406,718-862-4410,"09,10,11,12,SE",BRONX
11X455,X,2,X455,HARRY S. TRUMAN HIGH SCHOOL,High school,1,11,11,750 BAYCHESTER AVENUE,NY,10475,SANA NASSER,718-904-5400,718-904-5502,"09,10,11,12,SE",BRONX
11X180,X,2,X180,I.S. 180 DANIEL HALE WILLIAMS,Junior High-Intermediate-Middle,1,11,11,700 BAYCHESTER AVENUE,NY,10475,FRANK UZZO,718-904-5650,718-904-5655,"06,07,08,SE",BRONX
11X153,X,2,X153,P.S. 153 HELLEN KELLER,Elementary,1,11,11,650 BAYCHESTER AVENUE,NY,10475,VERONICA GOKA,718-904-5550,718-904-5564,"0K,01,02,03,04,05,SE",BRONX
10X008,X,2,X008,P.S. 008 ISSAC VARIAN,Elementary,1,10,10,3010 BRIGGS AVENUE,NY,10458,ROSA MARIA PERALTA,718-584-3043,718-584-7376,"0K,01,02,03,04,05,SE",BRONX
10X696,X,2,X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,High school,1,10,10,2925 GOULDEN AVENUE,NY,10468,Mr. Alessandro Weiss,718-329-2144,718-329-0792,"09,10,11,12",BRONX
06M018,M,1,M018,P.S. 018 PARK TERRACE,K-8,1,6,6,4124 9 AVENUE,NY,10034,Connie Mejia,212-567-4353,212-304-1423,"0K,01,02,03,04,05,06,07,08,SE",MANHATTAN
06M278,M,1,M278,P.S./I.S. 278,K-8,1,6,6,421 W 219TH ST,NY,10034,MAUREEN GUIDO,212-942-3440,,"0K,01,02,03,04,05,06,07,08,SE",MANHATTAN
10X310,X,2,X310,P.S. 310 MARBLE HILL,Elementary,1,10,10,260 W KINGSBRIDGE RD,NY,10463,ELIZABETH CARDONA,718-796-9434,718-796-9528,"PK,0K,01,02,03,04,05,SE",BRONX
10X268,X,2,X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,High school,1,10,10,2780 RESERVOIR AVENUE,NY,10468,RONALD NEWLON,718-329-8580,718-329-8582,"09,10,11,12",BRONX
10X342,X,2,X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,Secondary School,1,10,10,2780 RESERVOIR AVENUE,NY,10468,Migdalia Carrillo,718-329-8570,718-329-8572,"06,07,08,09,10,11,12,SE",BRONX
10X433,X,2,X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,High school,1,10,10,2780 RESERVOIR AVENUE,NY,10468,GARY PRINCE,718-329-7380,718-365-7984,"09,10,11,12,SE",BRONX
10X442,X,2,X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",High school,1,10,10,2780 RESERVOIR AVENUE,NY,10468,"William Rodriguez, Ed.D.",718-329-8550,718-329-8559,"09,10,11,12",BRONX
10X549,X,2,X549,DISCOVERY HIGH SCHOOL,High school,1,10,10,2780 RESERVOIR AVENUE,NY,10468,ROLANDO RIVERA,718-733-3872,718-733-3621,"09,10,11,12,SE",BRONX
10X086,X,2,X086,P.S. 086 KINGSBRIDGE HEIGHTS,Elementary,1,10,10,2756 RESERVOIR AVENUE,NY,10468,SHELDON BENARDO,718-584-5585,718-584-7027,"PK,0K,01,02,03,04,05,06,SE",BRONX
10X020,X,2,X020,P.S. 20 P.O.GEORGE J. WERDAN III,K-8,1,10,10,3050 WEBSTER AVENUE,NY,10467,CAROL CARLSEN,718-515-9370,718-515-9378,"PK,0K,01,02,03,04,05,06,07,08,SE",BRONX
11X076,X,2,X076,P.S. 076 THE BENNINGTON SCHOOL,Elementary,1,11,11,900 ADEE AVENUE,NY,10469,Louise  Sedotto,718-882-8865,718-882-8870,"0K,01,02,03,04,05,SE",BRONX
10X307,X,2,X307,P.S. X307 - EAMES PLACE,Elementary,1,10,10,124 EAMES PLACE,NY,10468,LUISA FUENTES,718-601-2632,718-796-7490,"PK,0K,01,02,03,04,05,SE",BRONX
10X340,X,2,X340,P.S. 340,Elementary,1,10,10,25 WEST 195 STREET,NY,10468,NELLY MALDONADO,718-220-1830,718-220-1866,"PK,0K,01,02,03,04,05,06,SE",BRONX
06M098,M,1,M098,P.S. 098 SHORAC KAPPOCK,Elementary,1,6,6,512 WEST 212 STREET,NY,10034,MARITZA RODRIGUEZ,212-927-7870,212-569-1827,"PK,0K,01,02,03,04,05,SE",MANHATTAN
06M311,M,1,M311,AMISTAD DUAL LANGUAGE SCHOOL,K-8,1,6,6,4862 BROADWAY,NY,10034,MIRIAM PEDRAJA,212-544-8021,212-569-7765,"0K,01,02,03,04,05,06,07,08,SE",MANHATTAN
06M314,M,1,M314,MUSCOTA,Elementary,1,6,6,4862 BROADWAY,NY,10034,CAMILLE WALLIN,212-544-0614,212-544-2678,"0K,01,02,03,04,05,SE",MANHATTAN
10X046,X,2,X046,P.S. 046 EDGAR ALLAN POE,Elementary,1,10,10,279 EAST 196 STREET,NY,10458,Jennifer Alexander-Ade,718-584-4450,718-584-7402,"0K,01,02,03,04,05,SE",BRONX
06M052,M,1,M052,J.H.S. 052 INWOOD,Junior High-Intermediate-Middle,1,6,6,650 ACADEMY STREET,NY,10034,SALVADOR FERNANDEZ,212-567-9162,212-942-4952,"06,07,08,SE",MANHATTAN
06M423,M,1,M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,High school,1,6,6,650 ACADEMY STREET,NY,10034,TYONA WASHINGTON,212-569-1022,212-569-1190,"09,10,SE",MANHATTAN
11X121,X,2,X121,P.S. 121 THROOP,Elementary,1,11,11,2750 THROOP AVENUE,NY,10469,RACHEL DONNELLY,718-654-2055,718-519-2613,"PK,0K,01,02,03,04,05,SE",BRONX
10X246,X,2,X246,P.S. 246 POE CENTER,Elementary,1,10,10,2641 GRAND CONCOURSE,NY,10468,Beverly  Miller,718-584-6764,718-584-7005,"0K,01,02,03,04,05,SE",BRONX
06M366,M,1,M366,WASHINGTON HEIGHTS ACADEMY,Elementary,1,6,6,202 SHERMAN AVE,NY,10034,CRYSTAL M. FELIX,212-304-3320,212-304-3322,"PK,0K,01,02,03,04,05",MANHATTAN
10X054,X,2,X054,P.S. / I.S. 54,Elementary,1,10,10,2703 WEBSTER AVENUE,NY,10458,Maribelle Nunez-Pardo,718-584-4203,718-584-4326,"PK,0K,01,02,03,04,05,SE",BRONX
11X160,X,2,X160,P.S. 160 WALT DISNEY,Elementary,1,11,11,4140 HUTCHINSON RIVER PKWY E,NY,10475,LORI BAKER,718-379-5951,718-320-0392,"0K,01,02,03,04,05,SE",BRONX
11X144,X,2,X144,J.H.S. 144 MICHELANGELO,Junior High-Intermediate-Middle,1,11,11,2545 GUNTHER AVENUE,NY,10469,Pauline Mattis,718-379-7400,718-320-7135,"06,07,08,SE",BRONX
11X089,X,2,X089,P.S. 089 BRONX,K-8,1,11,11,980 MACE AVENUE,NY,10469,Ralph Martinez,718-653-0835,718-231-2863,"PK,0K,01,02,03,04,05,06,07,08,SE",BRONX
11X097,X,2,X097,P.S. 097 BRONX,Elementary,1,11,11,1375 MACE AVENUE,NY,10469,KATHELEEN BORNKAMP,718-655-4446,718-655-6063,"PK,0K,01,02,03,04,05,SE",BRONX
11X322,X,2,X322,ASPIRE PREPARATORY MIDDLE SCHOOL,Junior High-Intermediate-Middle,1,11,11,2441 WALLACE AVENUE,NY,10467,STEVEN COBB,718-231-6592,718-231-6591,"06,07,08,SE",BRONX
11X326,X,2,X326,BRONX GREEN MIDDLE SCHOOL,Junior High-Intermediate-Middle,1,11,11,2441 WALLACE AVENUE,NY,10467,Jeremy Kabinoff,718-325-6593,718-325-3625,"06,07,08,SE",BRONX
11X468,X,2,X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEME,Elementary,1,11,11,2441 WALLACE AVENUE,NY,10467,ANTHONY RIVERA,718-881-3136,718-881-3413,"06,07,SE",BRONX
10X033,X,2,X033,P.S. 033 TIMOTHY DWIGHT,Elementary,1,10,10,2424 JEROME AVENUE,NY,10468,LYNETTE SANTOS,718-584-3926,718-584-7004,"PK,0K,01,02,03,04,05,SE",BRONX
10X228,X,2,X228,JONAS BRONCK ACADEMY,Junior High-Intermediate-Middle,1,10,10,400 EAST FORDHAM ROAD,NY,10458,DONALDA CHUMNEY,718-365-2502,718-365-3892,"06,07,08,SE",BRONX
11X096,X,2,X096,P.S. 096 RICHARD RODGERS,Elementary,1,11,11,650 WARING AVENUE,NY,10467,MARTA GARCIA,718-652-4959,718-231-2889,"0K,01,02,03,04,05,SE",BRONX
06M218,M,1,M218,I.S. 218 SALOME URENA,Junior High-Intermediate-Middle,1,6,6,4600 BROADWAY,NY,10040,JUNE BARNETT,212-567-2322,212-569-7221,"06,07,08,SE",MANHATTAN
06M293,M,1,M293,CITY COLLEGE ACADEMY OF THE ARTS,Secondary School,1,6,6,4600 BROADWAY,NY,10040,Bernadette Drysdale,212-567-3164,212-567-3958,"06,07,08,09,10,11,SE",MANHATTAN
06M322,M,1,M322,MIDDLE SCHOOL 322,Junior High-Intermediate-Middle,1,6,6,4600 BROADWAY,NY,10040,ERICA ZIGELMAN,212-304-0853,212-567-3016,"06,07,08,SE",MANHATTAN
06M152,M,1,M152,P.S. 152 DYCKMAN VALLEY,Elementary,1,6,6,93 NAGLE AVENUE,NY,10040,JULIA PIETRI,212-567-5456,212-942-6319,"0K,01,02,03,04,05,SE",MANHATTAN
06M478,M,1,M478,Inwood Academy for Leadership Charter School,Junior High-Intermediate-Middle,2,6,84,93 NAGLE AVENUE,NY,10040,Christina Reyes,212-942-1450,212-942-2740,5,MANHATTAN
10X243,X,2,X243,WEST BRONX ACADEMY FOR THE FUTURE,Secondary School,1,10,10,500 EAST FORDHAM ROAD,NY,10458,WILPER MORALES,718-563-7139,718-563-7362,"06,07,08,09,10,11,12,SE",BRONX
10X434,X,2,X434,BELMONT PREPARATORY HIGH SCHOOL,High school,1,10,10,500 EAST FORDHAM ROAD,NY,10458,STEPHEN JOSEPH GUMBS,718-733-4559,718-295-3655,"09,10,11,12,SE",BRONX
10X437,X,2,X437,FORDHAM HIGH SCHOOL FOR THE ARTS,High school,1,10,10,500 EAST FORDHAM ROAD,NY,10458,IRIS BLIGE,718-733-4656,718-295-3605,"09,10,11,12,SE",BRONX
10X438,X,2,X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNO,High school,1,10,10,500 EAST FORDHAM ROAD,NY,10458,RICHARD BOST,718-733-5024,718-295-3674,"09,10,11,12,SE",BRONX
10X439,X,2,X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,High school,1,10,10,500 EAST FORDHAM ROAD,NY,10458,Michael Barakat,718-733-5274,718-295-3631,"09,10,11,12,SE",BRONX
10X374,X,2,X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO,High school,1,10,10,500 EAST FORDHAM ROAD,NY,10458,PANOREA PANAGIOSOULIS,718-933-1247,718-933-1568,"09,10,11,12,SE",BRONX
10X206,X,2,X206,I.S. 206 ANN MERSEREAU,Junior High-Intermediate-Middle,1,10,10,2280 AQUEDUCT AVENUE,NY,10468,DAVID NEERING,718-584-1570,718-584-7928,"05,06,07,08,SE",BRONX
10X459,X,2,X459,EAST FORDHAM ACADEMY FOR THE ARTS,Junior High-Intermediate-Middle,1,10,10,120 EAST 184 STREET,NY,10468,TANICIA WILLIAMS,718-220-4185,718-220-5976,"06,07,SE",BRONX
10X363,X,2,X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,Junior High-Intermediate-Middle,1,10,10,120 EAST 184 STREET,NY,10468,ANGELO LEDDA,718-935-4099,,"06,07,SE",BRONX
11X288,X,2,X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,High school,1,11,11,925 ASTOR AVENUE,NY,10469,ESTELLE HANS,718-944-3635,718-652-3525,"09,10,11,12,SE",BRONX
11X299,X,2,X299,ASTOR COLLEGIATE ACADEMY,High school,1,11,11,925 ASTOR AVENUE,NY,10469,Sandra Burgos,718-944-3419,718-944-3638,"09,10,11,12,SE",BRONX
11X415,X,2,X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,High school,1,11,11,925 ASTOR AVENUE,NY,10469,LISA FUENTES,718-944-3400,718-519-1565,"09,10,11,12,SE",BRONX
11X541,X,2,X541,GLOBAL ENTERPRISE HIGH SCHOOL,High school,1,11,11,925 ASTOR AVENUE,NY,10469,SANDRA MALDONADO,718-944-3548,,"09,10,11,12,SE",BRONX
11X542,X,2,X542,PELHAM PREPARATORY ACADEMY,High school,1,11,11,925 ASTOR AVENUE,NY,10469,JANE ARONOFF,718-944-3401,718-944-3479,"09,10,11,12,SE",BRONX
11X508,X,2,X508,Bronxdale High School,High school,1,11,11,925 ASTOR AVENUE,NY,10469,John Chase,718-935-3437,,9,BRONX
11X509,X,2,X509,High School for Language and Innovation,High school,1,11,11,925 ASTOR AVENUE,NY,10469,Julie Nariman,718-935-3478,,"09,10,11,12,SE",BRONX
10X085,X,2,X085,P.S. 085 GREAT EXPECTATIONS,Elementary,1,10,10,2400 MARION AVENUE,NY,10458,Ted Husted,718-584-5275,718-584-7765,"0K,01,02,03,04,05,SE",BRONX
06M178,M,1,M178,PROFFESOR JUAN BOSCH PUBLIC SCHOOL,Early Childhood,1,6,6,12-18 ELLWOOD STREET,NY,10040,DEIRDRE BUDD,212-569-0327,212-569-0389,"0K,01,02,SE",MANHATTAN
