city,name,url
La Habra,North Orange County Gem & Mineral Society,http://www.nocgms.com/
San Bernardino,Orange Belt Mineralogical Society,http://obmsrocks.yolasite.com/
Santa Maria,Orcutt Mineral Society,http://www.omsinc.org/
Oxnard,Oxnard Gem & Mineral Society,http://oxnardgem.com/home/
Palmdale,Palmdale Gem & Mineral Club,https://www.facebook.com/palmdalegemandmineralclub/
Escondido,Palomar Gem & Mineral Club,http://palomargem.org/
Rolling Hills Estates,Palos Verdes Gem & Mineral Society,http://www.palos-verdes-gem-and-mineral-society.org/
Paradise,Paradise Gem & Mineral Club,http://www.paradisegem.org/
Pasadena,Pasadena Lapidary Society,http://www.pasadenalapidarysociety.org/
Los Altos,"Peninsula Gem & Geology Society, Inc.",http://pggs.org/
Roseville,Roseville Rock Rollers,http://www.rockrollers.com/
Brea,Route 66 Gold Miners Inc,http://www.route66goldminers.org/
Sacramento,Sacramento Mineral Society,http://www.sacramentomineralsociety.org/
North Highlands,Sacramento Valley Detecting Buffs,http://www.sacramentovalleydetectingbuffs.com/
Salinas,Salinas Valley Rock and Gem Club,https://salinasrockandgem.pagecloud.com/
San Diego,San Diego Gem and Mineral Society,http://www.sdmg.org/
San Diego,San Diego Lapidary Society,http://sandiegolapidarysociety.org/
San Francisco,"San Francisco Gem and Mineral Society, Inc.",http://www.sfgms.org/
Bakersfield,San Joaquin Valley Lapidary Society,http://sjvls.blogspot.com/
San Luis Obispo,San Luis Obispo Gem & Mineral Club,http://www.slogem.org/
Santa Ana,"Santa Ana Rock & Mineral Club, Inc.",http://www.sarmclub.org/
San Jose,Santa Clara Valley Gem & Mineral Society,http://www.scvgms.org/
Santa Cruz,Santa Cruz Mineral and Gem Society,https://www.facebook.com/scmgs/
Paso Robles,Santa Lucia Rockhounds,http://www.slrockhounds.org/
Santa Rosa,"Santa Rosa Mineral And Gem Society, Inc.",http://www.srmgs.org/
Anaheim,Searchers Gem and Mineral Society,https://www.searchersrocks.org/
Trona,"Searles Lake Gem and Mineral Society, Inc.",http://www1.iwvisp.com/tronagemclub/
Redwood City,Sequoia Gem and Mineral Society,http://www.sequoiagemandmineralsociety.org/
Palm Springs,Shadow Mountain Gem & Mineral Society,http://www.shadowmountaingemmineral.org/
Redding,Shasta Gem & Mineral Society,http://www.shastagemandmineral.com/
Newhall,Sierra Pelona Rock Club,http://www.sierrapelona.com/
Torrance,South Bay Lapidary & Mineral Society,https://southbaylapidaryandmineralsociety.com/
San Clemente,South Orange County Gem & Mineral Society,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
Los Angeles,Southern California Paleontological Society,http://socalpaleo.com/
Stockton,Stockton Lapidary & Mineral Club,http://www.stocktonlapidary.com/
Marysville,Sutter Buttes Gem & Mineral Society,http://www.sutterbuttes.net/
Tehachapi,Tehachapi Valley Gem & Mineral Society,http://www.tvgms.org/
Farmersville,Tule Gem and Mineral Society,http://www.tulegem.com/
Vallejo,Vallejo Gem & Mineral Society,http://www.vjgems.org/
San Bernardino,"Valley Prospectors, Inc.",https://www.valleyprospectors.com/
Ventura,"Ventura Gem & Mineral Society, Inc",http://vgms.org/
Victorville,Victor Valley Gem and Mineral Club,http://www.vvgmc.org/
Vista,Vista Gem & Mineral Society,http://www.vistarocks.org/
Garden Grove,West Coast Prospectors & Treasure Hunters Association,http://westcoasters.org/
Norco,West End Prospectors Corporation,http://www.wepcgold.com
Whittier,"Whittier Gem and Mineral Society, Inc.",http://wgmsca.com/index.html
San Fernando Valley,"Woodland Hills Rock Chippers, Inc.",http://www.rockchippers.org/
Yucaipa,Yucaipa Valley Gem & Mineral Society,http://www.yvgms.org/wiki/
Canon City,Canon City Geology Club,http://www.canoncitygeologyclub.com/
Frisco,Colorado Gold Camp,http://coloradogoldcamp.com/
Lakewood,Colorado Mineral Society,http://www.coloradomineralsociety.org/
Alamosa,Colorado Prospector,http://www.coloradoprospector.com/
Colorado Springs,Colorado Springs Mineral Society,http://www.csms-web.org/drupal/
Salida,Columbine Gem and Mineral Society,http://rockaholics.org/
Denver,Denver Gem and Mineral Guild,http://denvergem.org/index.html
Boulder,Flatirons Mineral Club,http://flatironsmineralclub.org/
Fort Collins,Fort Collins Rockhounds,http://www.fortcollinsrockhounds.org/
Durango,Four Corners Gem & Mineral Club,http://www.durangorocks.org/
Denver,Friends of Mineralogy - Colorado Chapter ,http://friendsofmineralogycolorado.org/
Grand Junction,Grand Junction Gem & Mineral Club,http://www.grandjunctionrockclub.org/
Lake George,Lake George Gem & Mineral club,http://www.lggmclub.org/
Littleton,"Littleton Gem and Mineral Club, Inc.",http://littletongemandmineralclub.com/
Arvada,Mile High Rock and Mineral Society,http://www.milehirams.com/
Arvada,North Jeffco Gem & Mineral Club,http://www.peaktopeak.com/njeffco/index.php
Pueblo,Pueblo Rockhounds,http://www.pueblorockhounds.org/
Denver,Western Interior Paleontological Society,http://www.westernpaleo.org/
Bristol,Bristol Gem & Mineral Club,http://bristolgem.org/
Danbury,Danbury Mineralogical Society,http://danburymineralogicalsociety.weebly.com/
Meriden,Lapidary and Mineral Society of Central Connecticut,http://www.lmscc.org/
New Haven,New Haven Mineral Club,http://www.newhavenmineralclub.org/
Stamford,Stamford Mineralogical Society,http://www.stamfordmineralsociety.org/
Wilmington,"Delaware Mineralogical Society, Inc.",http://www.delminsociety.net/
Melbourne,Canaveral Mineral & Gem Society,http://www.canaveral-mgs.com/
Merritt Island,Central Brevard Rock and Gem Club,http://www.centralbrevardgems.org/
Winter Park,Central Florida Mineral and Gem Society,http://www.cfmgs.org/
Orlando,Florida Fossil Hunters,http://floridafossilhunters.com/
Hollywood,Florida Gold Coast Gem & Mineral Society,http://fgcgms.com/main/
Ft. Myers,Fossil Club of Lee County,http://www.fcolc.com/
Gainesville,Gainesville Gem & Mineral Society,http://gainesvillegms.weebly.com/
West Palm Beach,Gem and Mineral Society of the Palm Beaches,http://www.gemandmineralsociety.org/
Lakeland,"Imperial Bone Valley Gem, Mineral, & Fossil Society",http://www.bonevalley.net/
Jacksonville,"Jacksonville Gem and Mineral Society, Inc.",http://www.jaxgemandmineral.org/
Miami,"Miami Mineralogical and Lapidary Guild, Inc.",http://www.mmlg-inc.org/
Ft. Walton Beach,Playground Gem and Mineral Society,http://playgroundgem.org/
Punta Gorda,Southwest Florida Fossil Society,http://www.southwestfloridafossilsociety.org/
Port St Lucie,St Lucie County Rock and Gem Club,http://www.slcrockandgem.org/
St Petersburg,Suncoast Gem and Mineral Society,http://sgams.com/
Palm Harbor,Tampa Bay Fossil Club,http://www.tampabayfossilclub.com/
Tampa,"Tampa Bay Mineral & Science Club, Inc.",http://www.tampabayrockclub.com/
The Villages,The Villages Gem and Mineral Society,http://www.thevillagesgemandmineralsociety.com/
Palm Coast,Tomoka Faceters Guild,http://www.tomokafacetersguild.org/index.html
Daytona Beach,"Tomoka Gem and Mineral Society, Inc.",http://www.tomokagms.org/
Spring Hill,Withlacoochee Rockhounds,http://www.withlacoocheerockhounds.com/
Athens,Athens Rock and Gem Club,http://www.athensrockandgemclub.org/
Augusta,Augusta Gem & Mineral Society,http://agams.club/
Marietta,Cobb County Gem and Mineral Society,https://www.ccgms.org/
Norcross,"Georgia Mineral Society, Inc.",http://www.gamineral.org/
Macon,Mid-Georgia Gem and Mineral Society,http://midgagmsorg.ipage.com/
Rome,Rome Georgia Mineral Society Inc.,https://rogams.wordpress.com/
Honolulu,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html
Lewiston,"Hells Canyon Gem Club, Inc.",http://www.hellscanyongemclub.com/
Idaho Falls,Idaho Falls Gem & Mineral Society,http://ifgemmineral.weebly.com/
Boise,"Idaho Gem Club, Inc.",http://www.idahogemclub.com/
Twin Falls,Magic Valley Gem Club,http://magicvalleygemclub.org/
Coeur d'Alene,North Idaho Mineral Club,http://www.northidahomineralclub.com/
Caldwell,Owyhee Gem & Mineral Society,http://www.owyheerocks.com/
Oldtown,Pend Oreille Rock and Gem Club,https://pendoreillerockandgemclub.wordpress.com/
Boise,Southeast Idaho Gem and Mineral Society,https://www.facebook.com/SEIGMS
Rock Island,Black Hawk Gem & Mineral Club,http://www.blackhawkgemandmineralclub.com/
Decatur,Central Illinois Gem & Mineral Club,http://rmkapta.wixsite.com/cigmc
Skokie,Chicago Rocks & Minerals Society,http://www.chicagorocks.org/
Elgin,Elgin Rock Club,http://elginrockclub.org/
Macomb,"Geodeland Earth Science Clubs, Inc.",http://www.geodeland.com/
Springfield,Lincoln Orbit Earth Science Society,http://www.loess.org/
Chicago,Midwest Historical Research Society,http://www.mhrsusa.com/
Freeport,Northwest Illinois Rock Club,http://nwilrockclubfrpt.blogspot.com/
Peoria,Peoria Academy of Science Geology Section,http://www.pasgeology.com/
Benton,Southern Illinois Earth Science Club,http://www.siesclub.org/
Macomb,West Central Illinois Rock & Mineral Club,http://www.rockchatter.com/
Elmhurst,West Suburban Lapidary Club,http://www.westsuburbanlapidaryclub.com/
Indianapolis,500 Earth Sciences Club,http://www.500earthsciencesclub.org/
Nashville,Brown County Rock and Mineral Club,http://browncountyrock.webs.com/
Crown Point,Calumet Gem & Mineral Society,https://www.facebook.com/calumetrockclub
Evansville,Evansville Lapidary Society,http://evansvillelapidarysociety.tumblr.com/
Richmond,"Eastern Indiana Gem & Geological Society, Inc.",http://eiggs.weebly.com/
Bedford,"Lawrence County Rock Club, Inc",http://www.lawrencecountyrockclub.org/
South Bend,"Michiana Gem & Mineral Society, Inc.",http://www.michianagms.org/
Fort Wayne,Three Rivers Gem & Mineral Society,http://3riversgem_mineral.tripod.com/
Cedar Rapids,Cedar Valley Rocks and Minerals Society,http://www.cedarvalleyrockclub.org/
Des Moines,Des Moines Lapidary Society,http://dmlapidary.org/
Mount Vernon,Geology Club @ Cornell College,http://orgs.cornellcollege.edu/geo_club/
Ames,Iowa State University Geology Club,https://www.facebook.com/ISUGEOCLUB/
Fairfield,The Sac & Fox Lapidary Club,http://members.iowatelecom.net/billrath/rock_club.html
Kansas City,Olathe Gem and Mineral Society,http://olathegemclub.com/
Topeka,Topeka Gem & Mineral Society,http://www.topekagms.org/
Wichita,Wichita Gem and Mineral Society,http://www.wgmsks.org/
Wichita,Wichita Paleontological Society,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
Lexington,Blue Grass Gem & Mineral Club of Central Kentucky,http://bggamc.homestead.com/
Louisville,KYANA Geological Society,http://www.kyanageo.org/
Lexington,Kentucky Paleontological Society,http://www.uky.edu/OtherOrgs/KPS/
Shreveport,Ark-La-Tex Gem & Mineral Society,http://larockclub.com/
Baton Rouge,Baton Rouge Gem & Mineral Society,http://www.brgemandmineral.org/
Leesville,DeRidder Gem & Mineral Society,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/
Winthrop,Kennebec Rocks and Minerals Club,http://kennebec-rocksandminerals.com/
Portland,Maine Mineralogical & Geological Society,http://mainemineralclub.org/
South Paris,Oxford County Mineral and Gem Association,http://ocmgassoc.blogspot.com/
Milford,Penobscot Mineral and Lapidary Club,http://penobscotminerallapidaryclub.com/index.html
Bowie,American Fossil Federation,http://americanfossilfederation.org/Home.html
Baltimore,Baltimore Mineral Society,http://www.baltimoremineralsociety.org/
Solomons,Calvert Marine Museum Fossil Club,http://www.calvertmarinemuseum.com/209/Fossil-Club
Elkridge,Central Maryland Rock and Mineral Collectors Exchange,https://www.meetup.com/rockhounds/
Baltimore,Chesapeake Gem & Mineral Society,http://www.chesapeakegemandmineral.org/
Baltimore,"Gem Cutters Guild of Baltimore, Inc.",http://www.gemcuttersguild.com/
Rockville,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",http://www.glmsmc.com/
Bowie,Maryland Geological Society,http://www.ecphora.net/mgs/
"Washington, DC",Micromineralogists of the National Capital Area,http://dcmicrominerals.org/
Annapolis,Patuxent Lapidary Guild,http://www.patuxentlapidary.org/
Clinton,Southern Maryland Rock and Mineral Club,http://www.smrmc.org/
"Washington, DC",The Mineralogical Society of the District of Columbia,http://www.mineralogicalsocietyofdc.org/
Boston,"Boston Mineral Club, Inc.",http://www.bostonmineralclub.org/
Springfield,Connecticut Valley Mineral Club,http://www.cvmineralclub.org/
Chemlsford,Micromounters of New England,http://micromountersofnewengland.org/
Westford,Nashoba Valley Mineralogical Society,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society
South Hamilton,North Shore Rock & Mineral Club of Massachusetts,http://www.northshorerock.org/
North Adams,Northern Berkshire Mineral Club,http://nbmclub.webs.com/
Bridgewater,Southeastern Massachusetts Mineral Club,http://semmc.com/
Worcester,Worcester Mineral Club,http://worcestermineralclub.org/
Big Rapids,"Big Rapids Rock, Gem & Mineral Club",https://sites.google.com/site/bigrapidsrockgemmineralclub/
Lansing,Central Michigan Lapidary and Mineral Society,http://michrocks.org/
Dollar Bay,Copper Country Rock and Mineral Club,http://www.ccrmc.info/
Flint,Flint Rock and Gem Club,http://www.flintrockandgem.org/
Traverse City,Grand Traverse Area Rock and Mineral Club,http://tcrockhounds.com/
Wyoming,Indian Mounds Rock & Mineral Club,http://www.indianmoundsrockclub.com/
Ishpeming,Ishpeming Rock and Mineral Club,http://www.ishpemingrocks.org/
Kalamazoo,Kalamazoo Geological & Mineral Society,http://kalamazoorockclub.org/
Howell,Livingston Gem & Mineral Society,http://www.livingstongemandmineralsociety.com/
Michigan Center,Michigan Gem & Mineral Society,http://mgmsrockclub.com/
Bloomfield Hills,Michigan Mineralogical Society,https://www.michmin.org/
Midland,Mid-Michigan Rock Club,http://www.midmichrockclub.com/?Page=1
Grand Rapids,Midwest Faceters' Guild,http://www.midwestfaceters.org/
Taylor,Midwest Mineralological & Lapidary Society,http://www.mmls.us/
Roscommon,Mikenauk Rock and Gem Club,http://mikenaukclub.weebly.com/
Mt. Clemens,Mount Clemens Gem & Lapidary Society,http://mcgls.org/
Waterford,Oakland County Earth Science Club,http://www.ocesc.com/
Morenci,StateLine Gem & Mineral Society,http://statelinegms.com/
Holland,"Tulip City Gem & Mineral Club, Inc.",http://www.tulipcity.org/
Brainerd,"Cuyuna Rock, Gem and Mineral Society",http://cuyunarockclub.org/wp/
Falcon Heights,Minnesota Mineral Club,http://minnesotamineralclub.org/
Mankato,Minnesota Valley Gem & Mineral Club,http://www.mnvalleygemandmineralclub.com/
Stillwater,St Croix Rockhounds,http://stcroixrockhounds.org/
Gulfport,"Harrison County Gem & Mineral Society, Inc.",http://www.gulfportgems.org/
Jackson,Mississippi Gem & Mineral Society,http://missgems.org/
Jackson,Mississippi Geological Society,http://www.missgeo.com/
Ocean Springs,Mississippi Gulf Coast Gem and Mineral Society,http://www.mgcgms.org/
Tupelo,North Mississippi Gem and Mineral Society,http://www.nmgms.org/
Columbia,Central Missouri Rock and Lapidary Club,http://www.cmrlc.org/
Independence,Independence Gem & Mineral Society,http://www.igams.co/
St. Joseph,Missouri Valley Gem & Mineral Society,http://www.movalleyrockclub.com/
Lincoln,"Mozarkite Society of Lincoln, Inc.",http://www.mozarkite.com/
Springfield,Ozark Mountain Gem & Mineral Society,https://www.facebook.com/omgms.57
St. Louis,Rock Hobby Club of Greater Saint Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx
St. Louis,Rockwood Gem & Mineral Society,http://rockwood.stlearthsci.org/
St. Louis,St. Louis Mineral & Gem Society,http://www.stlrockclub.com/
St. Peters,"Show Me Gems & Minerals Club, Inc.",http://showme.stlearthsci.org/
Kansas City,Show-Me Rockhounds Kansas City,https://showmerockhounds.com/
Billings,"Billings Gem & Mineral Club, Inc.",http://www.billingsgemclub.com/
Corvallis,Bitterroot Gem & Mineral Society,http://www.ravalligemandmineralclub.org/
Bozeman,Bozeman Gem and Mineral Club,http://bozemangemandmineralclub.com/
Missoula,Hellgate Mineral Society,https://www.facebook.com/HellgateMineralSociety/
Kalispell,Kalispell Rockhound Club,http://www.kalispellrockhounds.org/
Lincoln,"Lincoln Gem & Mineral Club, Inc.",https://www.lincolngemmineralclub.org/
Reno,Comstock Gold Prospectors,http://cgpgold.org/
Carson City,Great Basin Gem & Mineral Club,http://greatbasingemandmineralclub.rocks/
Carson City,High Desert Rockers,https://highdesertrockers.wordpress.com/
Pahrump,Nye Gold Seekers,http://nyegoldseekers.webs.com/
Reno,Reno Gem and Mineral Society,http://www.renorockhounds.com/
Las Vegas,Southern Nevada Gem and Mineral Society,http://www.snvgms.org/
Concord,Capital Mineral Club,http://www.capitalmineralclub.org/
Keene,Keene Mineral Club,https://sites.google.com/site/keenemineralclub/home
Conway,Saco Valley Gem and Mineral Club,http://www.sacovalleygemandmineralclub.org/
Dover,Southeastern New Hampshire Mineral Club,https://www.senhmc.org/
Cologne,Cape Atlantic Rockhounds Inc.,http://www.capeatlanticrockhounds.com/
Woodbury,Delaware Valley Earth Science Society,http://www.dvess.org/
Marlboro Township,Friends of Mineralogy - New Jersey Chapter,https://fomnj.wordpress.com/
Morristown,Morris Museum Mineralogical Society,http://morrismuseum.org/mineral-society/
Mountainside,"New Jersey Mineralogical Society, Inc",http://www.njmin.org/
Paterson,"North Jersey Mineralogical Society, Inc.",http://www.nojms.webs.com/
Albuquerque,Albuquerque Gem & Mineral Club,http://www.agmc.info/
Carlsbad,Carlsbad Gem and Mineral Society,http://www.carlsbadgms.org/
Deming,Deming Gem & Mineral Society,http://www.thedgms.com/
Silver City,"Grant County Rolling Stones Gem & Mineral Society, Inc.",http://rollingstonesgms.blogspot.com/
Los Alamos,Los Alamos Geological Society,http://pweb.netcom.com/~hoffmans/LAGS.html
Buffalo,"Buffalo Geological Society, Inc.",http://www.bgsny.org/
Albany,Capital District Mineral Club,http://capitaldistrictmineralclub.com/
Syracuse,"Gem and Mineral Society of Syracuse, Inc.",http://www.gmss.us/
Bellmore,Island Rockhounds Inc.,http://www.islandrockhounds.org/
Jamesport,Long Island Mineral & Geology Society,http://www.limineralandgeology.com/LiMags/Home.html
Poughkeepsie,Mid-Hudson Valley Gem and Mineral Society Inc.,http://mhvgms.org/index.html
Glen Cove,Nassau Mineral Club,http://nassaumineralclub.org/
NYC,New York Mineralogical Club,http://www.newyorkmineralogicalclub.org/
NYC,New York Paleontological Society,http://www.nyps.org/index.htm
Middletown,Orange County Mineral Society,http://www.orangecountymineralsocietynewyork.com/
Rochester,Rochester Academy of Science,http://www.rasny.org/
Rochester,Rochester Lapiday Society,http://www.rochesterlapidary.org/
Canton,St. Lawrence County Rock & Mineral Club,http://stlawrencecountymineralclub.org/
Bay Shore,Suffolk Gem & Mineral Club,http://www.suffolkgem.com/
Newark,Wayne County Gem and Mineral Club,http://www.wcgmc.org/
Fayetteville,Cape Fear Mineral & Gem Society,http://www.mercergarden.com/GemClub.html
Hickory,Catawba Valley Gem & Mineral Club,http://www.cvgmc.com/
Chapel Hill,Central North Carolina Mineral Club,http://www.centralncmineralclub.org/
Charlotte,Charlotte Gem & Mineral Club,http://www.charlottegem.com/
Winston-Salem,Forsyth Gem and Mineral Club,http://www.forsythgemclub.com/fgmcmain.html
Gastonia,"Gaston Gem, Mineral and Faceters Club",http://gastongemclub.weebly.com/
Franklin,Gem & Mineral Society of Franklin,http://www.fgmm.org/
Greensboro,Greensboro Gem & Mineral Club,http://www.ggmc-rockhounds.com/
Hendersonville,Henderson County Gem and Mineral Society,http://hcgms.com/index.html
Asheville,Mountain Area Gem and Mineral Association (MAGMA),http://www.wncrocks.com/magma/magma.html
Raleigh,North Carolina Fossil Club,http://www.ncfossilclub.org/
Asheville,Southern Appalachian Mineral Society,http://www.main.nc.us/sams/
Raleigh,Tar Heel Gem & Mineral Club,http://www.tarheelclub.org/
Bismarck,Central Dakota Gem & Mineral Society,https://ndrockclub.org/
Troy,Brukner Gem and Mineral Club,http://www.bruknergemandmineralclub.com/
Cincinnati,Cincinnati Mineral Society,http://mineralsociety.org/
Columbus,Columbus Rock and Mineral Society,http://www.columbusrockandmineralsociety.org/
Kettering,Dayton Gem & Mineral Society,https://www.facebook.com/The-Dayton-Gem-Mineral-Society-140478502678195/
Cincinnati,Dry Dredgers,http://drydredgers.org/
Loveland,Greater Cincinati Lapidary and Faceting Society,http://cincinnatilapidary.weebly.com/
Cleveland,North Coast Fossil Club,http://ncfclub.org/
Worthington,Ohio Geological Society,https://ohiogeosoc.org/
Cleveland,Parma Lapidary Club,http://www.parmalapidary.com/
Mansfield,Richland Lithic & Lapidary Society,http://rlls.webs.com/
Cuyahoga Falls,Summit Lapidary Club,http://lapidaryclubofohio.org/
Toledo,Toledo Gem & Rockhound Club,http://rockyreader.com/
Ada,"Ada Gem, Mineral and Fossil Club",http://www.freewebs.com/agmfc/
Enid,Enid Gem & Mineral Society,http://www.enidgemandmineral.org/
Oklahoma City,Oklahoma Mineral and Gem Society,http://omgs-minerals.org/
Shawnee,Shawnee Gem and Mineral Society,https://www.facebook.com/Shawnee-Gem-and-Mineral-Society-524175917629452/
Tulsa,Tulsa Rock and Mineral Society,http://www.ttownrockhound.org/
Tahlequah,Tahlequah Rock and Mineral Society,http://tramsok.webs.com/
Redmond,Central Oregon Rock Collectors,https://corockcollectors.com/
Oregon City,Clackamette Mineral and Gem Club,http://www.clackamettegem.org/
Portland/West Linn,Columbia-Willamette Faceters' Guild,http://facetersguild.com/
North Bend,FarWest Lapidary & Gem Society,http://www.farwestlapidary.org/
Hermiston,Hatrockhounds Gem and Mineral Society,http://jall23.wixsite.com/hatrockhounds
Portland,Millennium Diggers Club,http://www.millenniumdiggers.com/
Gresham,Mt Hood Rock Club,https://mthoodrockclub.wordpress.com/
Hillsboro,North American Research Group,http://narg-online.com/
Portland,"Oregon Agate & Mineral Society, Inc.",http://www.oregonagate.org/
Newport,Oregon Coast Agate Club,http://www.coastagates.org/
Prineville,Prineville Rockhound Pow-Wow Assoc.,http://prineville.rocks/
Klamath Falls,Rock and Arrowhead Club of Klamath Falls,http://www.klamathrockclub.org/
Springfield,Springfield Thunderegg Rock Club,http://thundereggrockclub.blogspot.com/
Forest Grove,Tualatin Valley Gem Club,https://tvrgc.org/
Salem,"Willamette Agate and Mineral Society, Inc.",http://www.wamsi.net/
Harrisburg,"Central Pennsylvania Rock and Mineral Club, Inc.",http://www.rockandmineral.org/
Sayre,"Che-Hanna Rock and Mineral Club, Inc.",http://www.chehannarocks.com/
Philadelphia,Delaware Valley Paleontological Society,https://sites.google.com/site/dvpspaleo/
St. Peters,Friends of Mineralogy - Pennsylvania Chapter,http://www.rasloto.com/FM/
Erie,Gem City Rock and Mineral Society,http://www.gemcityrockclub.org/
