full_rating,full_score,rank,title,url
 4.15 avg rating — 157 ratings,"
score: 2,099,
              and
21 people voted
               
              
            ",61,"
Chameleon (The Domino Project, #1)
",/book/show/25487847-chameleon
 4.36 avg rating — 187 ratings,"
score: 2,035,
              and
21 people voted
               
              
            ",62,"
Catori's Worlds
",/book/show/18858741-catori-s-worlds
" 3.77 avg rating — 4,682 ratings","
score: 1,999,
              and
25 people voted
               
              
            ",63,"
In the Garden of Iden (The Company, #1)
",/book/show/270490.In_the_Garden_of_Iden
" 4.04 avg rating — 8,496 ratings","
score: 1,995,
              and
24 people voted
               
              
            ",64,"
Grass (Arbai, #1)
",/book/show/104342.Grass
" 4.21 avg rating — 13,657 ratings","
score: 1,921,
              and
24 people voted
               
              
            ",65,"
Parable of the Talents (Earthseed, #2)
",/book/show/60932.Parable_of_the_Talents
" 4.17 avg rating — 11,120 ratings","
score: 1,914,
              and
26 people voted
               
              
            ",66,"
Diplomatic Immunity (Vorkosigan Saga, #13)
",/book/show/61901.Diplomatic_Immunity
 4.41 avg rating — 248 ratings,"
score: 1,906,
              and
20 people voted
               
              
            ",67,"
Armageddon Cometh (Species Intervention #6609, #3)
",/book/show/15992895-armageddon-cometh
" 4.07 avg rating — 9,842 ratings","
score: 1,891,
              and
23 people voted
               
              
            ",68,"
The Gate to Women's Country
",/book/show/104344.The_Gate_to_Women_s_Country
" 4.11 avg rating — 4,336 ratings","
score: 1,849,
              and
22 people voted
               
              
            ",69,"
The Faded Sun Trilogy (The Faded Sun #1-3)
",/book/show/57042.The_Faded_Sun_Trilogy
 3.83 avg rating — 109 ratings,"
score: 1,832,
              and
19 people voted
               
              
            ",70,"
This Changes Everything (The Spanners, #1)
",/book/show/18772075-this-changes-everything
 4.41 avg rating — 336 ratings,"
score: 1,817,
              and
19 people voted
               
              
            ",71,"
Hive (Species Intervention #6609, #4)
",/book/show/17322045-hive
" 4.02 avg rating — 206,616 ratings","
score: 1,775,
              and
20 people voted
               
              
            ",72,"
Station Eleven
",/book/show/20170404-station-eleven
 3.83 avg rating — 799 ratings,"
score: 1,772,
              and
19 people voted
               
              
            ",73,"
Baby (Species Intervention #6609, #1)
",/book/show/15992857-baby
" 3.55 avg rating — 4,568 ratings","
score: 1,740,
              and
22 people voted
               
              
            ",74,"
The Female Man
",/book/show/908311.The_Female_Man
 3.78 avg rating — 215 ratings,"
score: 1,698,
              and
17 people voted
               
              
            ",75,"
Machinations (Machinations, #1)
",/book/show/27876301-machinations
" 4.01 avg rating — 8,590 ratings","
score: 1,692,
              and
22 people voted
               
              
            ",76,"
The Speed of Dark
",/book/show/96063.The_Speed_of_Dark
 4.46 avg rating — 256 ratings,"
score: 1,687,
              and
18 people voted
               
              
            ",77,"
Evil Among Us (Species Intervention #6609, #5)
",/book/show/17936909-evil-among-us
 4.18 avg rating — 748 ratings,"
score: 1,684,
              and
18 people voted
               
              
            ",78,"
Vertigo (Aurora Rhapsody, #2)
",/book/show/23150535-vertigo
" 4.05 avg rating — 10,873 ratings","
score: 1,683,
              and
24 people voted
               
              
            ",79,"
CryoBurn (Vorkosigan Saga, #14)
",/book/show/7841670-cryoburn
" 4.32 avg rating — 3,203 ratings","
score: 1,575,
              and
19 people voted
               
              
            ",80,"
Seed to Harvest (Patternmaster, #1-4)
",/book/show/60924.Seed_to_Harvest
 4.48 avg rating — 244 ratings,"
score: 1,565,
              and
17 people voted
               
              
            ",81,"
The One (Species Intervention #6609, #6)
",/book/show/18044158-the-one
" 3.88 avg rating — 5,588 ratings","
score: 1,564,
              and
19 people voted
               
              
            ",82,"
Darkover Landfall (Darkover, #1)
",/book/show/673158.Darkover_Landfall
 4.19 avg rating — 367 ratings,"
score: 1,559,
              and
17 people voted
               
              
            ",83,"
Echo (Species Intervention #6609, #2)
",/book/show/15992880-echo
 4.28 avg rating — 93 ratings,"
score: 1,495,
              and
16 people voted
               
              
            ",84,"
Hannah's Stolen Men (The Men of Space Station One, #10)
",/book/show/21409707-hannah-s-stolen-men
" 3.99 avg rating — 366,089 ratings","
score: 1,461,
              and
16 people voted
               
              
            ",85,"
Delirium (Delirium, #1)
",/book/show/11614718-delirium
 4.91 avg rating — 56 ratings,"
score: 1,458,
              and
16 people voted
               
              
            ",86,"
A Forgotten Kitten (Sea-anan Saga, #2)
",/book/show/17878961-a-forgotten-kitten
 3.86 avg rating — 134 ratings,"
score: 1,455,
              and
16 people voted
               
              
            ",87,"
The Ranchers' Bride (The Men of Space Station One, #2)
",/book/show/13376014-the-ranchers-bride
" 4.04 avg rating — 3,160 ratings","
score: 1,420,
              and
18 people voted
               
              
            ",88,"
Remnant Population
",/book/show/96284.Remnant_Population
" 4.01 avg rating — 4,504 ratings","
score: 1,380,
              and
15 people voted
               
              
            ",89,"
The V Girl
",/book/show/25437891-the-v-girl
" 3.91 avg rating — 9,782 ratings","
score: 1,323,
              and
18 people voted
               
              
            ",90,"
The Word for World is Forest
",/book/show/276767.The_Word_for_World_is_Forest
" 3.74 avg rating — 11,925 ratings","
score: 1,316,
              and
15 people voted
               
              
            ",91,"
Grimspace (Sirantha Jax, #1)
",/book/show/1828067.Grimspace
" 4.03 avg rating — 3,338 ratings","
score: 1,301,
              and
16 people voted
               
              
            ",92,"
The Wind's Twelve Quarters
",/book/show/77289.The_Wind_s_Twelve_Quarters
" 4.05 avg rating — 57,864 ratings","
score: 1,285,
              and
16 people voted
               
              
            ",93,"
His Majesty's Dragon (Temeraire, #1)
",/book/show/28876.His_Majesty_s_Dragon
 3.82 avg rating — 116 ratings,"
score: 1,278,
              and
14 people voted
               
              
            ",94,"
The Carpenters' Helper (The Men of Space Station One, #5)
",/book/show/13518942-the-carpenters-helper
" 4.19 avg rating — 3,328 ratings","
score: 1,240,
              and
16 people voted
               
              
            ",95,"
Inheritor (Foreigner, #3)
",/book/show/57015.Inheritor
" 4.17 avg rating — 3,717 ratings","
score: 1,197,
              and
16 people voted
               
              
            ",96,"
Invader (Foreigner, #2)
",/book/show/57014.Invader
" 3.78 avg rating — 103,428 ratings","
score: 1,174,
              and
13 people voted
               
              
            ",97,"
Across the Universe (Across the Universe, #1)
",/book/show/8235178-across-the-universe
 4.16 avg rating — 97 ratings,"
score: 1,170,
              and
13 people voted
               
              
            ",98,"
A Lost Kitten (Sea-anan Saga, #1)
",/book/show/16029924-a-lost-kitten
 3.85 avg rating — 111 ratings,"
score: 1,169,
              and
13 people voted
               
              
            ",99,"
Love Between the Hired Hands (The Men of Space Station One, #4)
",/book/show/13482469-love-between-the-hired-hands
" 3.83 avg rating — 3,244 ratings","
score: 1,155,
              and
16 people voted
               
              
            ",100,"
Ammonite
",/book/show/180270.Ammonite
