coal_or_metal,commodity,mine_name,mine_type,operator_id,operator_name,state,status
M ,Construction Sand and Gravel ,Little-G-Dirt Pit,Surface,1600953,Little-G-Dirt Pit  ,LA ,Abandoned 
M ,"Crushed, Broken Stone NEC ",Lone Star Crusher,Surface,4104185,Lone Star Dirt & Paving  ,TX ,Abandoned 
M ,Construction Sand and Gravel ,LOYD'S PIT,Surface,2901536,Loyd'S Dirt & Gravel  ,NM ,Abandoned 
M ,Construction Sand and Gravel ,Forbes Pit,Surface,3609624,M R Dirt  ,PA ,Temporarily Idled 
M ,"Sand, Common ",Middleton Site,Surface,3800709,M.C. Dirt LLC  ,SC ,Abandoned 
M ,Dimension Stone NEC ,Camptown Quarry,Surface,3609931,M.R. Dirt Inc.  ,PA ,Intermittent 
M ,Construction Sand and Gravel ,Maurice Dirt And Sand,Surface,1601257,Maurice Dirt & Sand  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,BELLVIEW,Surface,0801275,Mc Dirt Industries Inc  ,FL ,Abandoned 
M ,Construction Sand and Gravel ,REDS PIT,Surface,1601379,Mike Duhon Dirt Pit  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,WAINWRIGHT PIT,Surface,1601380,Mike Duhon Dirt Pit  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,COX PIT,Surface,1601381,Mike Duhon Dirt Pit  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Cook Pit,Surface,1601134,Moss Dirt Company  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Moss Dirt Pit,Surface,1601165,Moss Dirt Company  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Hoffman Pit,Surface,3901042,Muckler Fill Dirt & Top Soil  ,SD ,Abandoned 
M ,Construction Sand and Gravel ,Nelson & Sons Dirt Haulers Incorporated,Surface,1601194,Nelson & Sons Dirt Haulers Inc  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,NELSON'S DIRT PIT,Surface,4104054,Nelson'S Dirt Pit  ,TX ,Abandoned 
M ,Construction Sand and Gravel ,Eagle One,Surface,4801674,Nicholson Dirt Contracting  ,WY ,Abandoned 
M ,Construction Sand and Gravel ,Rolling Glen Ranch Sand and Gravel,Surface,2402474,Nitty Gritty Dirt LLC  ,MT ,Abandoned 
M ,Construction Sand and Gravel ,Calhoun And Mcguire Pit,Surface,1600920,Northest Louisiana Dirt Contractors  ,LA ,Abandoned 
M ,"Crushed, Broken Limestone NEC ",Ed Meek Pit,Surface,4102955,Orvil Carter Dirt Contractor Inc  ,TX ,Abandoned 
M ,"Crushed, Broken Limestone NEC ",Seitz Pit,Surface,4103107,Orvil Carter Dirt Contractor Inc  ,TX ,Abandoned 
C ,Coal (Bituminous) ,No 1 Surface,Surface,1512530,P B Dirt Movers Inc  ,KY ,Abandoned 
C ,Coal (Bituminous) ,No 5 Surface,Surface,1515619,P B Dirt Movers Inc  ,KY ,Abandoned 
C ,Coal (Bituminous) ,Biggs No 1,Surface,1518318,P B Dirt Movers Inc  ,KY ,Abandoned 
C ,Coal (Bituminous) ,No 1 Strip,Surface,4405366,P B Dirt Movers Inc  ,VA ,Abandoned 
C ,Coal (Bituminous) ,No 2,Surface,4407196,P B Dirt Movers Inc  ,VA ,Abandoned 
C ,Coal (Bituminous) ,Fedscreek Refuse Pile,Surface,1519685,P B Dirt Movers Inc.  ,KY ,Abandoned 
C ,Coal (Bituminous) ,Fedscreek Surface,Surface,1519799,"P B Dirt Movers, Inc  ",KY ,Active 
C , ,No. 3,Surface,4407379,"P B Dirt Movers, Inc.  ",VA ,New Mine 
C ,Coal (Bituminous) ,No 2,Underground,4407003,P.B. Dirtmovers  ,VA ,Abandoned* 
M ,Construction Sand and Gravel ,COUNTY FAIRE TEMP GRAVEL PIT,Surface,2602570,PAPA'S DIRT WORKES  ,NV ,Abandoned 
M ,Construction Sand and Gravel ,Robison Mine,Surface,2402503,Paydirt Exc Inc  ,MT ,Abandoned 
C ,Coal (Bituminous) ,Mine No. 6,Underground,4407296,PB Dirt Movers  ,VA ,Temporarily Idled 
C ,Coal (Bituminous) ,Blair Face Up,Surface,1519273,PB Dirt Movers Inc.  ,KY ,Abandoned 
C ,Coal (Bituminous) ,Surface Mine No. 1,Surface,4407270,"PB Dirt Movers, Inc  ",VA ,Abandoned 
M ,Construction Sand and Gravel ,Peveto Pit,Surface,4102682,Peveto Dirt Pit  ,TX ,Abandoned 
M ,Construction Sand and Gravel ,PIT #1,Surface,0801259,"Phil-Dirt Industries, Inc  ",FL ,Abandoned 
M ,Construction Sand and Gravel ,Sandretto Drive,Surface,0203332,"Prescott Dirt, LLC  ",AZ ,Intermittent 
M ,"Crushed, Broken Limestone NEC ",Martins Quarry,Surface,0302015,R & R Dirtworks  ,AR ,Abandoned 
M ,Construction Sand and Gravel ,R D BLANKENSHIP DIRT WORK,Surface,2901986,R D Blankenship Dirt Work LLC  ,NM ,Active 
M ,Construction Sand and Gravel ,Reeves Dirt Pit Incorporated,Surface,1601127,Reeves Dirt Pit Inc  ,LA ,Abandoned 
M ,"Sand, Common ",River Bottom Dirt,Surface,4105017,River Bottom Dirt  ,TX ,Abandoned 
M ,Construction Sand and Gravel ,Roe'S Dirt Pit,Surface,1600986,Roe'S Dirt Pit  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Pine Ridge Pit,Surface,4103324,Russell Trest-Dirt Contractor  ,TX ,Abandoned 
M ,Construction Sand and Gravel ,Stahr Portable Crusher,Surface,4202013,S J Stahr Dirt Movers Inc  ,UT ,Abandoned 
M ,"Sand, Common ",Molino Pit,Surface,0801417,"Sand & Dirt, Inc  ",FL ,Active 
M ,"Sand, Common ",CENTURY PIT,Surface,0801371,"Sand and Dirt, Inc.  ",FL ,Abandoned 
M ,Construction Sand and Gravel ,Sierra Rock & Dirt Inc,Surface,2402115,"Sierra Rock & Dirt, Inc.  ",MT ,Abandoned 
M ,Construction Sand and Gravel ,Simpson Sand and Gravel,Surface,4300748,Simpson Dirtworx llc  ,VT ,Abandoned 
M ,Construction Sand and Gravel ,Pettibone Jaw Crusher,Surface,4300768,SIMPSON DIRTWORX LLC  ,VT ,Intermittent 
M ,Construction Sand and Gravel ,Chieftan 1400,Surface,4300776,SIMPSON DIRTWORX LLC  ,VT ,Intermittent 
M ,Construction Sand and Gravel ,SLAY PIT,Surface,0103209,Slay'S Dirt Hauling  ,AL ,Abandoned 
M ,Construction Sand and Gravel ,Southside Dirt Pit,Surface,1601159,Southside Dirt Company  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Mike's Money Pit,Surface,2302283,"Spry's Dirt & Gravel, Inc.  ",MO ,Intermittent 
M ,Construction Sand and Gravel ,Stewart Pit,Surface,4102586,Stewart Dirt Pit  ,TX ,Abandoned 
M ,"Crushed, Broken Stone NEC ",Stewart Dirt Work Inc - Hanna Pit,Surface,4104475,"Stewart Dirt Work, Inc.  ",TX ,Abandoned 
M ,Construction Sand and Gravel ,Highway 642 Dirt Pit,Surface,3800617,Sweat'S Dirt Hauling Inc  ,SC ,Abandoned 
M ,Construction Sand and Gravel ,Toler Roe Dirt Pit,Surface,1601234,Toler Roe Dirt Pit  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,La Calichera Pit,Surface,4104648,"Tres Palacios Dirt, Sand & Gravel  ",TX ,Abandoned 
M ,Construction Sand and Gravel ,Crusher,Surface,2103518,Vogt Dirt Service  ,MN ,Intermittent 
M ,Construction Sand and Gravel ,ADDISON LEASE,Surface,1601292,Watson Dirt Sand & Gravel Pit Inc  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Y B Mine,Surface,4103429,Y B Dirt & Loam  ,TX ,Abandoned 
M ,Construction Sand and Gravel ,Yarbrough Dirt Pit #1,Surface,4103264,Yarbrough Dirt Pit Inc  ,TX ,Abandoned 
