amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
108.00 ,000388869,C,8848698  ,Closed,  ,108.00 ,6/29/2015,6/30/2015,9/16/2015 ,108.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf,Vogt Dirt Service
100.00 ,000388869,C,8848696  ,Closed,  ,100.00 ,6/29/2015,7/16/2015,9/16/2015 ,100.00,N,104(a),56.11002,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-11002.pdf,Vogt Dirt Service
108.00 ,000303208,C,8665861  ,Closed,  ,108.00 ,9/5/2012,10/2/2012,11/16/2012 ,108.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14132.pdf,Vogt Dirt Service
162.00 ,000303208,C,8665859  ,Closed,  ,162.00 ,9/5/2012,9/6/2012,11/16/2012 ,162.00,N,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14112.pdf,Vogt Dirt Service
162.00 ,000303208,C,8665858  ,Closed,  ,162.00 ,9/5/2012,9/6/2012,11/16/2012 ,162.00,N,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14112.pdf,Vogt Dirt Service
540.00 ,000303208,C,8665860  ,Closed,  ,540.00 ,9/5/2012,9/6/2012,11/16/2012 ,540.00,Y,104(a),56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-20003.pdf,Vogt Dirt Service
100.00 ,000303208,C,8665856  ,Closed,  ,100.00 ,9/5/2012,9/5/2012,11/16/2012 ,100.00,N,104(a),56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-1000.pdf,Vogt Dirt Service
100.00 ,000303208,C,8665857  ,Closed,  ,100.00 ,9/5/2012,9/5/2012,11/16/2012 ,100.00,N,104(a),56.18002(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-18002.pdf,Vogt Dirt Service
362.00 ,000266401,C,6560856  ,Closed,  ,362.00 ,7/12/2011,7/13/2011,10/20/2011 ,362.00,Y,104(a),56.18002(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-18002.pdf,Vogt Dirt Service
100.00 ,000266401,C,6560849  ,Closed,  ,100.00 ,7/12/2011,7/13/2011,10/20/2011 ,100.00,N,104(a),56.12002,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-12002.pdf,Vogt Dirt Service
100.00 ,000266401,C,6560850  ,Closed,  ,100.00 ,7/12/2011,7/13/2011,10/20/2011 ,100.00,Y,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14112.pdf,Vogt Dirt Service
100.00 ,000266401,C,6560848  ,Closed,  ,100.00 ,7/12/2011,7/13/2011,10/20/2011 ,100.00,N,104(a),56.12002,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-12002.pdf,Vogt Dirt Service
100.00 ,000266401,C,6560852  ,Closed,  ,100.00 ,7/12/2011,7/18/2011,10/20/2011 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14100.pdf,Vogt Dirt Service
100.00 ,000266401,C,6560846  ,Closed,  ,100.00 ,7/12/2011,7/18/2011,10/20/2011 ,100.00,N,104(a),56.20011,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-20011.pdf,Vogt Dirt Service
