amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
585.00 ,000252992,C,8580023  ,Closed,J392 ,585.00 ,10/26/2010,10/26/2010,5/28/2011 ,585.00,Y,104(a),56.14130(g),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14130.pdf,Dirt Con
150.00 ,000221815,C,8570069  ,Closed,  ,150.00 ,4/19/2010,5/4/2010,7/23/2010 ,150.00,N,104(a),56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf,Sunshine Reclamation Inc.
100.00 ,000221815,C,8570067  ,Closed,  ,100.00 ,4/15/2010,4/15/2010,7/23/2010 ,100.00,N,104(a),,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec-.pdf,Sunshine Reclamation Inc.
100.00 ,000221815,C,8570070  ,Closed,  ,100.00 ,4/15/2010,4/19/2010,7/23/2010 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,Sunshine Reclamation Inc.
285.00 ,000221815,C,8570062  ,Closed,  ,285.00 ,4/15/2010,4/19/2010,7/23/2010 ,285.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Sunshine Reclamation Inc.
285.00 ,000221815,C,8570063  ,Closed,  ,285.00 ,4/15/2010,4/19/2010,7/23/2010 ,285.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Sunshine Reclamation Inc.
285.00 ,000221815,C,8570065  ,Closed,  ,285.00 ,4/15/2010,5/4/2010,7/23/2010 ,285.00,N,104(a),56.14101(a)(3),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14101.pdf,Sunshine Reclamation Inc.
285.00 ,000221815,C,8570071  ,Closed,  ,285.00 ,4/15/2010,4/20/2010,7/23/2010 ,285.00,N,104(a),56.14100(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Sunshine Reclamation Inc.
100.00 ,000221815,C,8570068  ,Closed,  ,100.00 ,4/15/2010,4/15/2010,7/23/2010 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec50-30.pdf,Sunshine Reclamation Inc.
"1,412.00 ",000221815,C,8570066  ,Closed,  ,"1,412.00 ",4/15/2010,4/15/2010,7/23/2010 ,"1,412.00",Y,104(a),56.12034,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12034.pdf,Sunshine Reclamation Inc.
100.00 ,000221815,C,8570064  ,Closed,  ,100.00 ,4/15/2010,4/19/2010,7/23/2010 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Sunshine Reclamation Inc.
436.00 ,000220499,C,8570055  ,Closed,J392 ,436.00 ,4/14/2010,4/14/2010,6/25/2010 ,436.00,Y,104(a),56.15005,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15005.pdf,Dirt Con
100.00 ,000220499,C,8570058  ,Closed,J392 ,100.00 ,4/14/2010,4/15/2010,6/25/2010 ,100.00,N,104(a),56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
100.00 ,000220499,C,8570060  ,Closed,J392 ,100.00 ,4/14/2010,4/15/2010,6/25/2010 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14107.pdf,Dirt Con
100.00 ,000220499,C,8570057  ,Closed,J392 ,100.00 ,4/14/2010,4/15/2010,6/25/2010 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,Dirt Con
100.00 ,000220499,C,8570056  ,Closed,J392 ,100.00 ,4/14/2010,4/14/2010,6/25/2010 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
100.00 ,000220499,C,8570061  ,Closed,J392 ,100.00 ,4/14/2010,4/15/2010,6/25/2010 ,100.00,N,104(a),56.14100(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14100.pdf,Dirt Con
N/A, ,O,8570054  ,N/A,J392 ,N/A,4/14/2010,4/14/2010, ,N/A,N/A,107(a),N/A,N/A,Dirt Con
100.00 ,000220499,C,8570059  ,Closed,J392 ,100.00 ,4/14/2010,4/15/2010,6/25/2010 ,100.00,N,104(a),56.14132(b)(2),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,Dirt Con
176.00 ,000196181,C,6533979  ,Closed,  ,176.00 ,7/9/2009,7/9/2009,10/15/2009 ,176.00,N,104(a),56.18002(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-18002.pdf,Sunshine Reclamation Inc.
100.00 ,000196181,C,6533980  ,Closed,  ,100.00 ,7/9/2009,7/21/2009,10/15/2009 ,100.00,N,104(a),56.12047,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-12047.pdf,Sunshine Reclamation Inc.
176.00 ,000196181,C,6533975  ,Closed,  ,176.00 ,7/8/2009,7/9/2009,10/15/2009 ,176.00,N,104(a),56.14101(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14101.pdf,Sunshine Reclamation Inc.
100.00 ,000196181,C,6533976  ,Closed,  ,100.00 ,7/8/2009,7/9/2009,10/15/2009 ,100.00,N,104(a),56.14112(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14112.pdf,Sunshine Reclamation Inc.
100.00 ,000194979,C,6533972  ,Closed,J392 ,100.00 ,7/8/2009,7/9/2009,9/27/2009 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14100.pdf,Dirt Con
100.00 ,000196181,C,6533977  ,Closed,  ,100.00 ,7/8/2009,7/9/2009,10/15/2009 ,100.00,N,104(a),47.41(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec47-41.pdf,Sunshine Reclamation Inc.
176.00 ,000196181,C,6533974  ,Closed,  ,176.00 ,7/8/2009,7/9/2009,10/15/2009 ,176.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14132.pdf,Sunshine Reclamation Inc.
100.00 ,000194979,C,6533973  ,Closed,J392 ,100.00 ,7/8/2009,7/9/2009,9/27/2009 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14100.pdf,Dirt Con
